Date;Open;High;Low;Close*;Adj Close**;Volume
Apr 27, 2021;2.8730;2.9360;2.8680;2.9250;2.9250;131,127
Apr 26, 2021;2.7860;2.8760;2.7830;2.8730;2.8730;41,283
Apr 25, 2021;2.7100;2.8000;2.7000;2.7900;2.7900;34,308
Apr 22, 2021;2.7470;2.7640;2.7200;2.7300;2.7300;50,602
Apr 21, 2021;2.6960;2.7790;2.6570;2.7490;2.7490;126,33
Apr 20, 2021;2.7240;2.7250;2.6660;2.6920;2.6920;99,733
Apr 19, 2021;2.7410;2.7590;2.7190;2.7270;2.7270;96,682
Apr 18, 2021;2.7070;2.7530;2.6940;2.7490;2.7490;105,072
Apr 15, 2021;2.6630;2.7000;2.6580;2.6800;2.6800;94,879
Apr 14, 2021;2.6170;2.6850;2.5830;2.6580;2.6580;135,586
Apr 13, 2021;2.6200;2.6660;2.6090;2.6180;2.6180;129,02
Apr 12, 2021;2.5540;2.6380;2.5290;2.6190;2.6190;166
Apr 11, 2021;2.5300;2.6050;2.5300;2.5610;2.5610;144,317
Apr 08, 2021;2.5200;2.5520;2.5030;2.5260;2.5260;121,593
Apr 07, 2021;2.5100;2.5350;2.4780;2.5220;2.5220;140,798
Apr 06, 2021;2.4640;2.5460;2.4580;2.5200;2.5200;132,266
Apr 05, 2021;2.5110;2.5680;2.4530;2.4560;2.4560;142,675
Apr 04, 2021;2.5930;2.6160;2.4880;2.5110;2.5110;146,892
Mar 31, 2021;2.6050;2.6630;2.5780;2.6390;2.6390;116,692
Mar 30, 2021;2.6210;2.6560;2.5750;2.6080;2.6080;92,08
Mar 29, 2021;2.6430;2.6880;2.5970;2.6230;2.6230;100,807
Mar 28, 2021;2.5630;2.6070;2.5300;2.5860;2.5860;103,898
Mar 25, 2021;2.5700;2.5870;2.5460;2.5570;2.5570;35,201
Mar 24, 2021;2.5200;2.5850;2.4850;2.5700;2.5700;39,046
Mar 23, 2021;2.5150;2.5450;2.5030;2.5180;2.5180;48,42
Mar 22, 2021;2.5780;2.5810;2.5020;2.5080;2.5080;89,372
Mar 21, 2021;2.5070;2.5920;2.4780;2.5820;2.5820;108,225
Mar 18, 2021;2.4890;2.5540;2.4560;2.5350;2.5350;74,375
Mar 17, 2021;2.5230;2.5260;2.4220;2.4810;2.4810;143,768
Mar 16, 2021;2.5620;2.5650;2.4890;2.5280;2.5280;91,676
Mar 15, 2021;2.4940;2.5660;2.4790;2.5620;2.5620;99,293
Mar 14, 2021;2.5580;2.5610;2.4780;2.4840;2.4840;136,038
Mar 12, 2021;2.6690;2.6930;2.5840;2.6000;2.6000;104,726
Mar 11, 2021;2.6890;2.7140;2.6360;2.6680;2.6680;119,77
Mar 10, 2021;2.6530;2.7070;2.6150;2.6920;2.6920;93,18
Mar 09, 2021;2.6620;2.6900;2.6240;2.6620;2.6620;96,803
Mar 08, 2021;2.6910;2.7340;2.6230;2.6640;2.6640;130,867
Mar 05, 2021;2.7430;2.7550;2.6810;2.7010;2.7010;116,201
Mar 04, 2021;2.8030;2.8260;2.6840;2.7460;2.7460;138,699
Mar 03, 2021;2.8480;2.8870;2.8010;2.8160;2.8160;93,789
Mar 02, 2021;2.7830;2.8570;2.7570;2.8390;2.8390;109,635
Mar 01, 2021;2.8000;2.8090;2.7240;2.7770;2.7770;75,971
Feb 26, 2021;2.7700;2.7860;2.6970;2.7710;2.7710;132,989
